Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,MtCO2e,53.92,53.75,53.36,53.90,54.20,54.21,54.10,55.51,56.51,56.00,56.91,57.67,48.97,56.24,57.92,57.50,55.84,57.56,60.31,57.25,54.00,56.79,58.67,58.12,58.65,55.98,56.08,55.79,57.10,56.43
Italy,MtCO2e,100.24,95.91,93.27,88.94,89.92,93.61,90.24,92.99,93.69,98.27,101.55,100.81,100.27,107.82,101.82,100.32,91.58,91.00,85.57,69.79,72.51,71.61,67.95,62.06,59.07,59.03,58.45,54.64,53.90,51.90
United Kingdom,MtCO2e,126.60,127.85,114.51,112.58,115.50,111.94,112.07,114.12,108.13,88.78,87.54,90.60,84.78,85.66,82.56,79.79,79.16,79.30,77.18,65.68,68.56,61.62,61.43,62.65,62.79,61.42,54.82,54.12,51.86,49.89
Argentina,MtCO2e,17.99,18.79,19.94,19.35,21.96,21.34,22.11,26.40,26.37,24.83,24.30,24.20,23.29,26.20,28.06,29.43,33.59,34.75,36.29,34.94,38.76,41.62,40.49,43.61,44.55,45.77,44.17,45.26,48.13,48.81
Spain,MtCO2e,61.24,61.42,58.02,55.07,61.89,65.35,62.42,69.98,70.81,70.70,78.21,79.01,78.00,83.12,83.74,86.51,77.49,83.80,78.98,66.60,67.91,64.37,60.57,58.96,57.65,47.27,46.96,49.80,50.86,48.81
Poland,MtCO2e,52.07,48.46,45.63,56.70,59.27,74.25,78.59,75.26,64.07,56.11,57.42,51.65,49.18,49.47,51.40,47.87,49.56,53.66,48.76,40.83,43.57,46.19,44.51,43.93,45.20,43.73,44.75,47.29,47.95,47.22
Ukraine,MtCO2e,201.77,202.70,202.54,143.41,105.68,104.42,92.39,89.06,84.58,86.45,86.32,93.88,95.27,105.36,104.39,84.19,91.62,95.39,86.80,62.50,68.70,74.45,69.00,65.53,64.05,50.19,46.54,40.34,44.88,45.12
North Korea,MtCO2e,87.25,84.57,74.62,69.75,63.26,58.24,50.47,45.02,40.13,43.47,45.65,47.89,46.19,47.45,48.61,51.18,52.78,44.06,49.06,37.75,35.57,26.15,27.35,20.16,22.66,18.81,22.17,38.00,35.77,39.34
Philippines,MtCO2e,13.41,11.43,11.58,13.89,14.02,17.57,17.77,20.84,18.62,18.23,17.52,14.11,15.42,16.53,16.86,18.03,17.20,20.43,20.16,19.08,21.10,21.48,22.24,24.96,26.69,28.50,32.79,35.48,34.32,34.78
Algeria,MtCO2e,9.74,10.11,10.06,9.80,9.21,9.86,9.38,9.13,9.74,10.19,10.73,11.05,11.96,12.58,14.78,15.91,17.72,19.65,21.04,21.88,23.19,23.87,23.26,23.44,24.67,26.26,27.91,30.69,31.73,33.19
