Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Japan,MtCO2e,216.16,226.69,231.59,236.89,249.45,257.92,263.91,266.31,265.66,268.12,267.80,270.01,265.45,263.17,263.19,260.41,256.51,249.16,239.92,233.68,234.83,229.07,226.67,223.91,217.65,217.00,214.51,212.65,210.09,206.41
Germany,MtCO2e,163.21,166.15,168.74,173.43,170.65,172.59,173.74,174.50,177.54,182.47,178.16,174.13,171.67,168.46,168.41,160.00,158.03,152.87,153.23,151.28,152.38,154.21,152.73,156.58,158.85,161.86,165.35,167.86,162.29,164.72
Indonesia,MtCO2e,32.98,36.70,38.81,41.43,46.41,50.41,55.87,62.07,60.62,60.20,64.20,68.35,69.63,70.97,72.61,71.65,68.03,69.65,74.03,83.89,91.53,111.36,132.99,139.75,140.35,135.56,131.98,139.00,155.45,154.71
Iran,MtCO2e,40.14,43.39,45.29,51.08,58.17,57.11,61.42,62.80,65.36,72.97,78.40,82.34,88.77,93.81,99.49,107.70,114.14,113.48,118.31,128.58,120.05,120.26,127.29,131.89,145.10,143.08,134.10,138.84,143.39,142.19
France,MtCO2e,116.21,119.88,122.42,123.55,124.40,125.35,125.12,127.69,132.25,132.62,135.61,137.33,137.23,135.83,136.05,133.76,134.08,133.36,127.44,126.05,126.35,131.69,130.63,129.56,129.77,131.04,131.58,132.18,129.24,128.98
South Korea,MtCO2e,44.66,50.08,55.70,62.84,66.05,74.13,78.16,79.91,66.72,73.49,79.58,82.86,88.37,90.31,90.95,88.06,87.99,90.74,86.25,87.22,88.84,87.33,89.83,93.21,94.80,100.86,103.85,106.04,104.23,108.89
Italy,MtCO2e,98.49,100.44,105.63,107.59,107.37,109.72,111.52,113.16,116.41,119.24,119.30,121.44,123.72,124.76,127.03,125.86,127.14,127.57,120.74,114.63,111.98,111.91,105.11,103.25,107.96,105.55,104.16,99.99,102.69,103.44
Egypt,MtCO2e,16.54,17.30,17.96,18.68,20.46,21.69,22.97,24.56,27.27,28.97,29.85,28.76,29.64,31.29,32.02,31.47,34.21,37.87,39.97,42.77,45.89,47.88,52.11,52.61,54.86,56.30,58.77,57.06,55.19,55.27
Iraq,MtCO2e,22.32,18.81,23.86,25.12,25.40,25.34,24.75,24.35,24.82,24.82,27.03,29.55,28.48,22.12,24.75,26.72,26.55,26.32,25.24,25.93,28.76,30.67,33.98,32.48,25.74,24.66,25.19,28.62,33.35,35.45
Colombia,MtCO2e,16.87,17.62,18.58,18.85,17.56,20.96,21.50,22.54,22.06,19.66,19.11,20.00,17.77,18.24,20.81,20.40,21.40,21.80,22.09,20.44,20.89,25.22,26.64,25.26,26.28,28.47,29.74,29.73,30.31,32.28
Chile,MtCO2e,9.31,9.72,10.55,11.69,12.64,13.98,15.20,16.11,16.95,17.15,17.40,16.45,16.97,16.72,17.31,18.98,18.70,20.26,21.05,21.20,21.95,22.37,22.96,25.07,24.15,25.82,27.01,28.02,28.98,29.40
Ecuador,MtCO2e,8.02,8.21,8.33,8.36,8.88,8.46,10.30,10.91,10.21,9.26,8.18,8.69,9.04,9.37,9.70,10.14,10.44,10.24,10.19,10.73,12.97,14.03,14.52,15.49,16.65,17.34,17.53,18.65,19.63,19.93
Israel,MtCO2e,8.26,8.53,9.32,9.80,10.53,11.56,12.20,12.98,12.10,12.87,13.71,13.61,14.16,14.65,14.52,13.81,14.12,14.87,16.39,16.10,16.86,16.08,17.59,16.30,16.45,17.37,17.95,18.43,18.51,18.63
Greece,MtCO2e,15.44,16.27,16.68,16.90,17.00,17.13,17.63,18.23,19.90,20.09,19.56,20.27,20.55,21.53,21.94,22.35,22.88,23.50,22.80,25.44,22.58,20.17,16.87,16.75,16.80,17.14,17.62,17.34,17.62,18.01
Kazakhstan,MtCO2e,14.99,18.82,16.46,13.72,9.39,9.52,8.52,7.31,8.25,6.05,9.75,8.53,9.49,9.01,9.60,9.94,10.95,12.58,14.27,12.89,13.62,13.94,15.10,14.22,14.91,15.86,16.52,15.88,18.00,16.83
Kuwait,MtCO2e,2.93,1.96,4.68,4.93,5.20,5.51,5.62,5.88,6.03,6.20,6.22,6.33,6.72,7.30,7.77,8.41,9.54,9.86,10.85,12.06,13.03,12.50,12.84,13.52,13.72,14.43,14.61,15.45,16.32,16.50
Hungary,MtCO2e,8.69,7.60,7.35,7.33,7.14,7.34,7.34,7.77,8.65,9.19,9.12,9.60,10.22,10.68,11.17,12.09,12.92,13.30,13.24,13.16,11.97,11.13,10.79,10.07,11.24,12.25,12.28,13.06,13.88,14.71
