"unique_id","DOI","file_name"
64,NA,"id_64_roy_2012"
102,"10.1080/09644016.2020.1846957","id_102_nash_2021"
123,"10.4324/9780203720196-11","id_123_hunold_2013"
144,"10.1007/s40802-020-00172-5","id_144_spier_2020"
163,"10.1177/0263774X15614181","id_163_niemeier_2015"
174,"10.1080/10455752.2021.2007538","id_174_pellow_2021"
175,"10.1007/978-3-030-03152-7_2","id_175_lieu_2018"
182,"10.3389/fsoc.2020.00011","id_182_signoretta_2020"
189,NA,"id_189_ubogui_2017"
207,"10.2175/193864712811708923","id_207_goss_2012"
232,"10.4324/9780429261732-76","id_232_calthorpe_2020"
243,"10.1007/s00267-020-01382-6","id_243_tran_2021"
255,"10.1080/10485236.2015.11439121","id_255_jonlin_2015"
294,NA,"id_294_lange_2017"
377,"10.1016/j.scitotenv.2020.136669","id_377_hou_2020"
623,"10.1016/j.jobe.2021.102475","id_623_hu_2021"
680,"10.1007/978-3-642-54601-3_121","id_680_finegan_2016"
710,"10.1088/1755-1315/323/1/012072","id_710_wittstock_2019"
712,"10.1016/j.tbs.2016.11.001","id_712_aggarwal_2017"
956,"10.4271/2019-26-0151","id_956_emran_2019"
1120,NA,"id_1120_leggett_2011"
1149,NA,"id_1149_overton_2017"
1346,"10.1002/ghg.1331","id_1346_cunningham_2013"
1374,"10.1016/j.jclepro.2018.10.047","id_1374_hou_2019"
1394,"10.1007/s11356-020-08908-9","id_1394_udemba_2020"
1425,"10.1016/j.still.2018.01.002","id_1425_dal_2018"
1504,"10.1016/j.jclepro.2018.09.069","id_1504_li_2018"
1695,"10.1016/j.ecolind.2014.06.018","id_1695_duarte_2014"
1720,"10.17221/602/2015-PSE","id_1720_martins_2015"
1853,"10.1371/journal.pone.0256005","id_1853_thammanu_2021"
1854,"10.1371/journal.pone.0256005","id_1854_thammanu_2021"
1934,"10.1016/j.foreco.2015.03.040","id_1934_gonzalez_2015"
2162,"10.5194/acp-18-4069-2018","id_2162_schoenenberger_2018"
2200,NA,"id_2200_sandifer_2017"
2239,"10.1088/1755-1315/505/1/012013","id_2239_dung_2020"
2268,NA,"id_2268_karayaka_2016"
2347,"10.15551/pesd2021152017","id_2347_ionce_2021"
2382,"10.1016/j.apenergy.2012.03.008","id_2382_fiaschi_2012"
2385,"10.1525/elementa.403","id_2385_johnson_2020"
2421,NA,"id_2421_li_2015"
2434,"10.3389/fmats.2020.572955","id_2434_bonoli_2020"
2449,"10.1080/17565529.2013.768175","id_2449_tyler_2014"
2494,"10.1016/j.envpol.2020.116279","id_2494_wang_2021"
2504,"10.3390/en12122424","id_2504_chang_2019"
2624,"10.1063/1.4928418","id_2624_armstrong_2015"
2702,"10.1007/978-3-642-21928-3_15","id_2702_fuglsang_2011"
2734,"10.2118/205598-MS","id_2734_wibowo_2021"
2741,NA,"id_2741_wilson_2011"
2815,"10.1142/S2345748120500049","id_2815_wang_2020"
2819,"10.1016/j.jclepro.2017.08.041","id_2819_chen_2017"
2836,"10.1017/CBO9781316162262","id_2836_bellassen_2015"
2863,"10.1016/j.jfe.2017.02.004","id_2863_bates_2017"
2896,"10.1021/acs.est.0c08096","id_2896_von_2021"
2902,"10.1016/j.tbs.2014.07.004","id_2902_piatkowski_2015"
2911,"10.1016/j.scitotenv.2017.03.028","id_2911_hardiman_2017"
